n,t,Term,id,paper_list,affiliation
D. Pardubská,log log n; log n; constant communication complexity; grammar system; advice complexity; Parallel Communicating Grammar Systems; regular control; height n; unary number n; unknown n,"['log', 'log', 'n', 'log', 'n', 'constant', 'commun', 'complex', 'grammar', 'system', 'advic', 'complex', 'parallel', 'commun', 'grammar', 'system', 'regular', 'control', 'height', 'n', 'unari', 'number', 'n', 'unknown', 'n']",11503,"1. Closure properties of the family of languages defined by systolic tree automata, 2. Some complexity aspects of VLSI computations. Part 3. On the power of input bit permutation in tree and trellis automata, 3. Some complexity aspects of VLSI computations. Part 4. VLSI circuits with programs","Comenius Univ., Bratislava, Czechoslovakia
"
Hendrik Drachsler,recommender system; suitable learning activity; informal learning environment; next learning activity; Learning Analytics; certain learning goal; lifelong learning network; relevant learning resource; Technology Enhanced Learning; Learning Network,"['recommend', 'system', 'suitabl', 'learn', 'activ', 'inform', 'learn', 'environ', 'next', 'learn', 'activ', 'learn', 'analyt', 'certain', 'learn', 'goal', 'lifelong', 'learn', 'network', 'relev', 'learn', 'resourc', 'technolog', 'enhanc', 'learn', 'learn', 'network']",11538,"1. Combining social-based and information-based approaches for personalised recommendation on sequencing learning activities, 2. Personal recommender systems for learners in lifelong learning networks: the requirements, 3. techniques and model, 4. Navigation support for learners in informal learning environments, 5. ReMashed --- Recommendations for Mash-Up Personal Learning Environments","Educational Technology Expertise Centre (ETEC), Open University of the Netherlands (OUNL), Valkenburgerweg 177, 6419 AT Heerlen, The Netherlands.
"
Jos Warmer,object constraint language; Model Driven Architecture; OCL expression; UML model; Extending OCL; OCL Action ClauseThe proposal; OCL language; OCL tool; OCL tool support; model level OCL,"['object', 'constraint', 'languag', 'model', 'driven', 'architectur', 'ocl', 'express', 'uml', 'model', 'extend', 'ocl', 'ocl', 'action', 'clauseth', 'propos', 'ocl', 'languag', 'ocl', 'tool', 'ocl', 'tool', 'support', 'model', 'level', 'ocl']",11574,"1. Processing SGML documents, 2. The object constraint language: precise modeling with UML, 3. Object Modeling with the OCL, 4. The Rationale behind the Object Constraint Language, 5. The Role of OCL in the Model Driven Architecture","IBM's European Object Technology Practice;Ordina, The Netherlands;Klasse Objecten, The Netherlands;Klasse Objecten, Soest, The Netherlands;Klasse Objecten, Netherlands;Ordina;Department of Computer Science, Ordina, Enschede, AE, The Netherlands;De Nederlandsche Bank, Nederland
"
Sabah M. A. Mohammed,International Conferences; private cloud; Jeju Island; virtual learning; various aspect; numerous submission; object component; refereed proceeding; Smart Technology; health record,"['intern', 'confer', 'privat', 'cloud', 'jeju', 'island', 'virtual', 'learn', 'variou', 'aspect', 'numer', 'submiss', 'object', 'compon', 'refere', 'proceed', 'smart', 'technolog', 'health', 'record']",11582,"1. Transcoding Aspects for Image Tele-Collaboration, 2. Collaborative virtual learning model for web intelligence","Lakehead University
"
Walid Taha,type system; base language; multi-stage language; programming language; core language; dynamic language; functional language; previous work; two-level language; Multi-stage programming,"['type', 'system', 'base', 'languag', 'multi-stag', 'languag', 'program', 'languag', 'core', 'languag', 'dynam', 'languag', 'function', 'languag', 'previou', 'work', 'two-level', 'languag', 'multi-stag', 'program']",11600,"1. Multi-stage programming (poster), 2. Multi-stage programming with explicit annotations, 3. A sound reduction semantics for untyped CBN mutli-stage computation. Or, 4. the theory of MetaML is non-trival (extended abstract), 5. MetaML and multi-stage programming with explicit annotations","Oregon Graduate Institute of Science & Technology;Department of Computing Science, Chalmers University of Technology and the University of Göteborg, S412 96 Göteborg, Sweden;Yale Univ.;Rice University, Houston, TX;bogus;Halmstad University, Halmstad, Sweden and Rice University, Houston, TX
"
Tarek M. Taha,cognitive model; Izhikevich model; cortical model; hierarchical Bayesian model; neuromorphic computational model; neuromorphic model; traditional neural network model; architecture design point; architecture design space; supplements current design tool,"['cognit', 'model', 'izhikevich', 'model', 'cortic', 'model', 'hierarch', 'bayesian', 'model', 'neuromorph', 'comput', 'model', 'neuromorph', 'model', 'tradit', 'neural', 'network', 'model', 'architectur', 'design', 'point', 'architectur', 'design', 'space', 'supplement', 'current', 'design', 'tool']",11650,"1. Heterogeneous architecture models for interconnect-motivated system design, 2. An Instruction Throughput Model of Superscalar Processors, 3. Estimating critical region parallelism to guide platform retargeting, 4. PSATSim: an interactive graphical superscalar architecture simulator for power and performance analysis, 5. A preliminary investigation of a neocortex model implementation on the Cray XD1","Georgia Institute of Technology, Atlanta;Clemson University, Clemson, SC;Electrical and Computer Engineering, University of Dayton, Dayton, OH 45469, USA
"
Thiab R. Taha,nonlinear Schr; solitary wave solution; complicated nonlinear physical phenomenon; nonlinear interaction; weakly nonlinear long wave; amplitude jitter; optical fiber; certain nonlinear evolution equation; higher order nonlinear; higher order nonlinear Schrodinger,"['nonlinear', 'schr', 'solitari', 'wave', 'solut', 'complic', 'nonlinear', 'physic', 'phenomenon', 'nonlinear', 'interact', 'weakli', 'nonlinear', 'long', 'wave', 'amplitud', 'jitter', 'optic', 'fiber', 'certain', 'nonlinear', 'evolut', 'equat', 'higher', 'order', 'nonlinear', 'higher', 'order', 'nonlinear', 'schroding']",11651,"1. Analytical and numerical aspects of certain nonlinear evolution equations. 1V. numerical modified Korteweg-de Vries equation, 2. A differential-difference equation for a KdV-MKdV equation, 3. Numerical simulations of the complex modified Korteweg-de Vries equation, 4. Inverse scattering transform numerical schemes for nonlinear evolution and the method of lines, 5. Numerical simulation of coupled nonlinear Schrödinger equation","Department of Computer Science, The University of Georgia, Athens, GA
"
Harold Lorin,Computer Architecture; security policy; computer system; information system; information systems security; mainstream systems style; systems architecture; systems design; systems maturity; systems structure,"['comput', 'architectur', 'secur', 'polici', 'comput', 'system', 'inform', 'system', 'inform', 'system', 'secur', 'mainstream', 'system', 'style', 'system', 'architectur', 'system', 'design', 'system', 'matur', 'system', 'structur']",11682,"1. An expanded approach to objects, 2. Interconnect technology as a management challenge, 3. Aspects of distributed computer systems: 2nd edition, 4. Introduction to computer architecture and organization: 2nd edition, 5. Application development","IBM Systems Research Institute, 500 Columbus Avenue, Thornwood, New York;IBM Corporate Technical Education and Hofstra Univ.
"
Françoise J. Prêteux,proposed approach; MPEG-4 standard; video content; TFAN approach; MPEG-4 Part; MPEG-4 SDK; low bitrate video; unconstrained video; mesh compression; developed approach,"['propos', 'approach', 'mpeg-4', 'standard', 'video', 'content', 'tfan', 'approach', 'mpeg-4', 'part', 'mpeg-4', 'sdk', 'low', 'bitrat', 'video', 'unconstrain', 'video', 'mesh', 'compress', 'develop', 'approach']",11687,"1. Off-Line Signature Verification by Local Granulometric Size Distributions, 2. Discrete Voronoi Diagrams and the SKIZ Operator: A Dynamic Algorithm, 3. Ultra-Fast Skeleton Based on an Isotropic Fully Parallel Algorithm","Institut National des Télécommunication, Évry, France;ARTEMIS (Advanced Research TEchniques for Multidimensional Imaging Systems) Project Unit, the Institut TELECOMTELECOM & Management SudParis;Mines ParisTech, Paris, France;ARTEMIS, Institut Télécom SudParis, UMR 8145, Evry, France
"
A. J. C. Blyth,ID system; intrusion detection system; deployment technique; information assurance; information system; information technology system; system performance; wireless intrusion detection system; case study; corporate network,"['id', 'system', 'intrus', 'detect', 'system', 'deploy', 'techniqu', 'inform', 'assur', 'inform', 'system', 'inform', 'technolog', 'system', 'system', 'perform', 'wireless', 'intrus', 'detect', 'system', 'case', 'studi', 'corpor', 'network']",11694,"1. ORDIT: a new methodology to assist in the process of eliciting and modelling organizational requirements, 2. The ORDIT approach to organisational requirements, 3. The Role of Interaction Analysis in Reuqirements Engineering","Department of Computing Science, University of Newcastle upon Tyne, Newcastle Upon Tyne NE1 7RU, United Kingdom;Department of Computer Studies, University of Glamorgan, UK;8715 First Avenue, 1413D, Silver Spring, MD
"
Jose L. Martínez Lastra,Web service; Multi-Agent Systems; coordination control; formal validation; structural reasoning; Director Facilitator; available web service; production device; production equipment; agent society,"['web', 'servic', 'multi-ag', 'system', 'coordin', 'control', 'formal', 'valid', 'structur', 'reason', 'director', 'facilit', 'avail', 'web', 'servic', 'product', 'devic', 'product', 'equip', 'agent', 'societi']",11698,1. Embedded XML DOM parser: an approach for XML data processing on networked embedded systems with real-time requirements,"Institute of Production Engineering, Tampere University of Technology, Tampere, Finland
"
Manos Papagelis,social network; social graph; social influence; dynamic social network; online social system; social navigation; social peer; available social information; online social navigationFor; online social network,"['social', 'network', 'social', 'graph', 'social', 'influenc', 'dynam', 'social', 'network', 'onlin', 'social', 'system', 'social', 'navig', 'social', 'peer', 'avail', 'social', 'inform', 'onlin', 'social', 'navigationfor', 'onlin', 'social', 'network']",11702,"1. A Method for Estimating the Precision of Placename Matching, 2. Iclone: towards online social navigation, 3. Efficient sampling of information in social networks, 4. Enabling Social Navigation on the Web, 5. Qualitative analysis of user-based and item-based prediction algorithms for recommendation agents","University of Toronto, Toronto, Canada;Institute of Computer Science, Foundation for Research and TechnologyHellas, P.O. Box 1385, GR71110 Heraklion, Greece and Department of Computer Science, University of Crete, P.O. Box 2208, GR7 ...;Institute of Computer Science, FORTH, Heraklion, Greece
"
Masashi Toyoda,web community; web graph; site-oriented framework; Web site; web page; link farm; page-oriented framework; related web community; web spam; mining community,"['web', 'commun', 'web', 'graph', 'site-ori', 'framework', 'web', 'site', 'web', 'page', 'link', 'farm', 'page-ori', 'framework', 'relat', 'web', 'commun', 'web', 'spam', 'mine', 'commun']",11714,"1. Hyper Mochi Sheet: a predictive focusing interface for navigating and editing nested networks through a multi-focus distortion-oriented view, 2. Creating a Web community chart for navigating related communities, 3. Web community mining and web log mining: commodity cluster based execution, 4. HishiMochi: a zooming browser for hierarchically clustered documents, 5. Some Experiences on Large Scale Web Mining","Department of Mathematical and Computing Sciences, Tokyo Institute of Technology, 2121 Oookayama, Meguroku, Tokyo 1528552 Japan;Institute of Industrial Science, University of Tokyo, 461 Komaba Meguroku, Tokyo, JAPAN
"
